GENERAL$,
14.46,0.01316
14.47,0.01498
14.48,0.01764
14.49,0.02162
14.5,0.02812
14.51,0.04139
14.52,0.07612
14.53,0.16324
14.54,0.32042
14.55,0.46943
14.56,0.44353
14.57,0.33509
14.58,0.29502
14.59,0.27192
14.6,0.18607
14.61,0.09951
14.62,0.05008
14.63,0.02915
14.64,0.02047
14.65,0.01591
14.66,0.01293
14.67,0.01083
14.68,0.00929
14.69,0.00813
14.7,0.00724
14.71,0.00654
14.72,0.00599
14.73,0.00556
14.74,0.00523
14.75,0.00497
14.76,0.00478
14.77,0.00466
14.78,0.0046
14.79,0.00461
14.8,0.00469
14.81,0.00487
14.82,0.00516
14.83,0.0056
14.84,0.00628
14.85,0.00732
14.86,0.009
14.87,0.01234
14.88,0.02087
14.89,0.04269
14.9,0.0842
14.91,0.12878
14.92,0.12869
14.93,0.0972
14.94,0.08257
14.95,0.07958
14.96,0.05946
14.97,0.03389
14.98,0.01766
14.99,0.01041
15,0.00747
15.01,0.00603
15.02,0.00508
15.03,0.00448
15.04,0.00406
15.05,0.00376
15.06,0.00356
15.07,0.00342
15.08,0.00334
15.09,0.00331
15.1,0.00333
15.11,0.00339
15.12,0.00351
15.13,0.00367
15.14,0.0039
15.15,0.00422
15.16,0.00463
15.17,0.00519
15.18,0.00596
15.19,0.00701
15.2,0.00853
15.21,0.01085
15.22,0.01499
15.23,0.02472
15.24,0.0502
15.25,0.10399
15.26,0.17594
15.27,0.20133
15.28,0.15744
15.29,0.12372
15.3,0.12046
15.31,0.10308
15.32,0.06398
15.33,0.03332
15.34,0.01791
15.35,0.01164
15.36,0.00885
15.37,0.00727
15.38,0.00623
15.39,0.00552
15.4,0.00502
15.41,0.00467
15.42,0.00444
15.43,0.00429
15.44,0.00422
15.45,0.00422
15.46,0.00429
15.47,0.00442
15.48,0.00463
15.49,0.00492
15.5,0.00533
15.51,0.00587
15.52,0.00661
15.53,0.00761
15.54,0.00903
15.55,0.01107
15.56,0.01442
15.57,0.02119
15.58,0.03846
15.59,0.0803
15.6,0.15336
15.61,0.21937
15.62,0.2025
15.63,0.14932
15.64,0.13078
15.65,0.12969
15.66,0.09815
15.67,0.05651
15.68,0.02984
15.69,0.01782
15.7,0.01301
15.71,0.01074
15.72,0.00943
15.73,0.00863
15.74,0.00816
15.75,0.00794
15.76,0.0079
15.77,0.00802
15.78,0.00831
15.79,0.00874
15.8,0.00935
15.81,0.01015
15.82,0.01119
15.83,0.01253
15.84,0.01427
15.85,0.01655
15.86,0.01957
15.87,0.02369
15.88,0.0295
15.89,0.0381
15.9,0.05247
15.91,0.08327
15.92,0.16285
15.93,0.34511
15.94,0.6335
15.95,0.83322
15.96,0.70758
15.97,0.51896
15.98,0.47611
15.99,0.46994
16,0.34054
16.01,0.18876
16.02,0.09595
16.03,0.05477
16.04,0.03769
16.05,0.02903
16.06,0.02361
16.07,0.0199
16.08,0.01728
16.09,0.01541
16.1,0.01408
16.11,0.01316
16.12,0.01259
16.13,0.01231
16.14,0.01231
16.15,0.01259
16.16,0.01318
16.17,0.01413
16.18,0.01554
16.19,0.01756
16.2,0.02045
16.21,0.02463
16.22,0.03091
