No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1242,36.2759,3.9428, , ,195.2635,93.2890
1243,36.3019,13.3288, , ,195.2635,93.3666
1244,36.3279,14.3673, , ,195.2635,93.2400
1245,36.3539,-64.1659, , ,195.2635,92.6850
1246,36.3799,89.4830, , ,195.2635,93.3782
1247,36.4059,75.5393, , ,195.2635,93.1712
1248,36.4319,-14.0232, , ,195.2635,92.5562
1249,36.4579,-5.7776, , ,195.2635,92.4674
1250,36.4839,-27.7418, , ,195.2635,92.2149
1251,36.5099,-26.5999, , ,195.2635,92.0873
1252,36.5359,18.5806, , ,195.2635,92.1986
1253,36.5619,3.0010, , ,195.2635,92.0139
1254,36.5879,31.1293, , ,195.2635,92.0665
1255,36.6139,57.7457, , ,195.2635,92.1109
1256,36.6399,11.9528, , ,195.2635,91.7615
1257,36.6659,3.1931, , ,195.2635,91.6132
1258,36.6919,60.1889, , ,195.2635,91.8233
1259,36.7179,107.3168, , ,195.2635,91.9794
1260,36.7439,24.2900, , ,195.2635,91.4261
1261,36.7699,-47.5312, , ,195.2635,90.9311
1262,36.7959,-5.9235, , ,195.2635,91.1145
1263,36.8219,-26.9903, , ,195.2635,90.9536
1264,36.8479,-17.6485, , ,195.2635,90.9598
1265,36.8739,86.0104, , ,195.2635,91.4829
1266,36.8999,26.3653, , ,195.2635,91.1112
1267,36.9259,-10.2506, , ,195.2635,90.8648
1268,36.9519,134.0891, , ,195.2635,91.6108
1269,36.9779,122.5727, , ,195.2635,91.5030
1270,37.0039,95.2537, , ,195.2635,91.3086
1271,37.0299,199.6113, , ,195.2635,91.8335
1272,37.0559,189.4500, , ,195.2635,91.7333
1273,37.0819,33.1062, , ,195.2635,90.8319
1274,37.1079,-46.2387, , ,195.2635,90.3486
1275,37.1339,-25.7219, , ,195.2635,90.4166
1276,37.1599,-48.0216, , ,195.2635,90.2477
1277,37.1859,-17.6107, , ,195.2635,90.3705
1278,37.2119,-17.3443, , ,195.2635,90.3265
1279,37.2379,-63.9644, , ,195.2635,90.0224
1280,37.2639,24.4224, , ,195.2635,90.5384
1281,37.2899,124.8034, , ,195.2635,91.1173
1282,37.3159,44.5706, , ,195.2635,90.7023
1283,37.3419,1.3310, , ,195.2635,90.4900
1284,37.3679,-21.4294, , ,195.2635,90.3906
1285,37.3939,35.2991, , ,195.2635,90.7302
1286,37.4199,81.8147, , ,195.2635,91.0124
1287,37.4459,52.3565, , ,195.2635,90.8767
1288,37.4719,122.3430, , ,195.2635,91.2871
1289,37.4979,169.1302, , ,195.2635,91.5691
1290,37.5239,188.7871, , ,195.2635,91.7025
1291,37.5499,94.5607, , ,195.2635,91.2135
1292,37.5759,91.5941, , ,195.2635,91.2234
1293,37.6019,95.8795, , ,195.2635,91.2730
1294,37.6279,-13.5208, , ,195.2635,90.6981
1295,37.6539,12.0545, , ,195.2635,90.8653
1296,37.6799,9.0699, , ,195.2635,90.8751
1297,37.7059,-49.0437, , ,195.2635,90.5812
1298,37.7319,54.1099, , ,195.2635,91.0049
1299,37.7579,88.4092, , ,195.2635,91.0492
1300,37.7839,27.5654, , ,195.2635,90.5699
1301,37.8099,130.0901, , ,195.2635,90.9901
1302,37.8359,64.2122, , ,195.2635,90.4826
1303,37.8619,41.0028, , ,195.2635,90.2090
1304,37.8879,128.8964, , ,195.2635,90.5502
1305,37.9139,34.3775, , ,195.2635,89.8810
1306,37.9399,-23.2061, , ,195.2635,89.4136
1307,37.9659,-38.5530, , ,195.2635,89.2381
1308,37.9919,-48.7136, , ,195.2635,89.0914
1309,38.0179,-185.7341, , ,195.2635,88.2285
1310,38.0439,-164.8637, , ,195.2635,88.2561
1311,38.0699,20.1238, , ,195.2635,89.2083
1312,38.0959,78.6178, , ,195.2635,89.4462
1313,38.1219,0.0363, , ,195.2635,88.9159
1314,38.1479,22.5798, , ,195.2635,88.9527
1315,38.1739,-6.4917, , ,195.2635,88.6990
