A,Perileno,Pyn,PynMOF,Peaks
3,580.11,93.4896,75.1847,82.7107,
3,579.18,93.5094,75.1551,82.6722,
3,578.24,93.5639,75.1923,82.6471,
3,577.31,93.4464,75.1643,82.6594,
3,576.38,93.3719,75.1294,82.7044,
3,575.45,93.3827,75.1604,82.7289,
3,574.52,93.4504,75.1859,82.6803,
3,573.59,93.4955,75.1715,82.6826,
3,572.65,93.7243,75.2581,82.7835,
3,571.72,93.8675,75.2046,82.5891,
3,570.79,93.4633,74.8875,82.2684,
3,569.86,93.1887,74.6868,82.0039,
3,568.93,92.839,74.4572,81.7789,
3,567.99,92.817,74.5519,81.9606,
3,567.06,93.1273,74.8,82.1287,
3,566.13,93.188,74.8841,82.2315,
3,565.2,93.2643,74.923,82.3223,
3,564.27,93.391,75.0288,82.3741,
3,563.33,93.3527,75.017,82.3273,
3,562.4,93.2523,74.9941,82.284,
3,561.47,93.3856,75.0836,82.2711,
3,560.54,93.4281,75.114,82.2709,
3,559.61,93.3927,75.0903,82.3149,
3,558.68,93.4227,75.0689,82.3813,
3,557.74,93.4442,75.0362,82.3199,
3,556.81,93.4102,74.9918,82.2676,
3,555.88,93.3678,74.933,82.1653,
3,554.95,93.2162,74.8067,82.0818,
3,554.02,93.0994,74.7729,82.1365,
3,553.08,93.1974,74.8683,82.1649,
3,552.15,93.3787,74.9213,82.1614,
3,551.22,93.4575,74.9547,82.1249,
3,550.29,93.3092,74.8485,81.9681,
3,549.36,93.2038,74.713,81.8643,
3,548.43,93.2013,74.6342,81.7727,
3,547.49,93.0285,74.5577,81.7251,
3,546.56,93.0381,74.5971,81.7508,
3,545.63,93.1647,74.6809,81.8242,
3,544.7,93.2904,74.763,81.9492,
3,543.77,93.3849,74.8297,81.9939,
3,542.83,93.3963,74.8251,81.9894,
3,541.9,93.3243,74.789,81.9716,
3,540.97,93.294,74.8038,81.9168,
3,540.04,93.3022,74.7755,81.833,
3,539.11,93.2007,74.6743,81.7653,
3,538.18,93.1581,74.6501,81.8186,
3,537.24,93.2065,74.6731,81.8528,
3,536.31,93.2681,74.7045,81.8292,
3,535.38,93.3177,74.6993,81.8229,
3,534.45,93.2731,74.683,81.8203,
3,533.52,93.2218,74.6981,81.7905,
3,532.58,93.1994,74.6583,81.6904,
3,531.65,93.1082,74.5854,81.5827,
3,530.72,93.0727,74.5679,81.5147,
3,529.79,93.0149,74.4758,81.4383,
3,528.86,93.006,74.4362,81.4307,
3,527.93,93.0547,74.4624,81.457,
3,526.99,93.123,74.4664,81.4769,
3,526.06,93.1165,74.443,81.445,
3,525.13,93.0061,74.4554,81.4345,
3,524.2,93.0622,74.5242,81.4654,
3,523.27,93.1503,74.5767,81.4793,
3,522.33,93.1862,74.5536,81.4606,
3,521.4,93.1394,74.515,81.4233,
3,520.47,93.1134,74.5364,81.4005,
3,519.54,93.0993,74.54,81.434,
3,518.61,93.1307,74.4867,81.4127,
3,517.68,93.1493,74.4937,81.3667,
3,516.74,93.1658,74.4959,81.373,
3,515.81,93.1936,74.486,81.3953,
3,514.88,93.2221,74.512,81.3875,
3,513.95,93.2247,74.531,81.3867,
3,513.02,93.1999,74.4899,81.3168,
3,512.08,93.064,74.3665,81.2118,
3,511.15,93.027,74.3112,81.1548,
3,510.22,93.1018,74.3167,81.1461,
3,509.29,93.1876,74.3445,81.1423,
3,508.36,93.1628,74.3607,81.1142,
3,507.42,93.0788,74.3481,81.0467,
3,506.49,92.9856,74.2759,80.977,
3,505.56,92.9044,74.1998,80.9335,
3,504.63,92.9362,74.179,80.953,
3,503.7,92.9514,74.1791,80.995,
3,502.77,93.0168,74.2497,81.0279,
3,501.83,93.0712,74.2755,81.0438,
3,500.9,93.1426,74.3049,81.1028,
3,499.97,93.2219,74.3759,81.1316,
3,499.04,93.1545,74.3568,81.1333,
3,498.11,93.1118,74.298,81.1062,
3,497.17,93.1497,74.3102,81.1006,
3,496.24,93.1827,74.3222,81.1129,
3,495.31,93.222,74.3059,81.121,
3,494.38,93.2393,74.261,81.1076,
3,493.45,93.2153,74.2448,81.1185,
3,492.52,93.2165,74.2817,81.0925,
3,491.58,93.1882,74.2579,81.0242,
3,490.65,93.114,74.1752,80.9417,
3,489.72,93.1431,74.1533,80.8883,
3,488.79,93.1492,74.1564,80.927,
3,487.86,93.1296,74.1781,80.966,
3,486.92,93.1211,74.1893,80.9402,
3,485.99,93.106,74.1565,80.9008,
3,485.06,92.9779,74.0518,80.8077,
3,484.13,92.8672,73.9824,80.7105,
3,483.2,92.8674,73.9756,80.6367,
3,482.27,92.9402,74.0082,80.668,
3,481.33,92.9786,74.0432,80.6946,
3,480.4,92.9451,74.0846,80.7115,
3,479.47,92.8822,74.0703,80.7709,
3,478.54,92.8273,74.0468,80.7749,
3,477.61,92.8242,74.0736,80.6825,
3,476.67,92.776,74.0733,80.594,
3,475.74,92.7394,74.01,80.5665,
3,474.81,92.6852,73.9403,80.596,
3,473.88,92.6025,73.9169,80.5518,
3,472.95,92.5976,73.9406,80.5455,
3,472.02,92.6331,73.9689,80.5562,
3,471.08,92.6801,73.9675,80.5288,
3,470.15,92.7573,73.9734,80.5116,
3,469.22,92.8136,73.9755,80.4994,
3,468.29,92.8628,73.9457,80.4948,
3,467.36,92.8748,73.9483,80.5097,
3,466.42,92.883,73.9482,80.5083,
3,465.49,92.8411,73.9077,80.4929,
3,464.56,92.78,73.8809,80.4385,
3,463.63,92.8101,73.8905,80.395,
3,462.7,92.9389,73.9121,80.4191,
3,461.77,93.0058,73.9141,80.4375,
3,460.83,92.9702,73.874,80.4023,
3,459.9,92.9574,73.856,80.3559,
3,458.97,92.9165,73.8737,80.3307,
3,458.04,92.8889,73.8392,80.3286,
3,457.11,92.9279,73.8233,80.3153,
3,456.17,92.938,73.8759,80.2934,
3,455.24,92.927,73.8688,80.2194,
3,454.31,92.9139,73.8409,80.1926,
3,453.38,92.875,73.8058,80.2388,
3,452.45,92.8219,73.7665,80.2329,
3,451.51,92.8606,73.7702,80.2345,
3,450.58,92.905,73.719,80.1862,
3,449.65,92.747,73.615,80.0798,
3,448.72,92.6578,73.6586,80.0736,
3,447.79,92.6777,73.7163,80.096,
3,446.86,92.6739,73.7214,80.1665,
3,445.92,92.6652,73.6772,80.1149,
3,444.99,92.6543,73.6149,80.03,
3,444.06,92.6994,73.6318,80.0517,
3,443.13,92.7632,73.656,80.1022,
3,442.2,92.8166,73.636,80.1261,
3,441.26,92.8808,73.6411,80.1633,
3,440.33,92.9835,73.6608,80.1825,
3,439.4,93.0395,73.6242,80.1854,
3,438.47,93.0805,73.63,80.1835,
3,437.54,93.1884,73.6867,80.17,
3,436.61,93.2346,73.667,80.1727,
3,435.67,93.202,73.6498,80.2117,
3,434.74,93.2391,73.6747,80.2106,
3,433.81,93.2999,73.6837,80.2096,
3,432.88,93.3128,73.6906,80.2376,
3,431.95,93.3047,73.6958,80.2489,
3,431.01,93.3118,73.694,80.2526,
3,430.08,93.3426,73.6925,80.27,
3,429.15,93.3609,73.687,80.2499,
