nm	XPyn	Pyn	XPynMOF	PynMOF
507	145.6	0.163161374977018	122.4	0.0877814178095425
506	147.2	0.16790781000148	122.7	0.0888445627270043
505	147.5	0.168792020314182	122.7	0.0888445627270043
504	148.6	0.172018809424556	122.8	0.0891983668051489
503	148.9	0.172894697752176	122.8	0.0891983668051489
502	149.3	0.174059807725025	122.7	0.0888445627270043
501	149.8	0.175511813363448	122.7	0.0888445627270043
500	150.6	0.177824971864682	123.3	0.0909630765957316
499	151.1	0.179264464339025	123.4	0.0913151596972229
498	151.6	0.180699201296035	123.1	0.0902580529313163
497	151.9	0.181557773862786	122.7	0.0888445627270043
496	152.4	0.182984967003582	123.2	0.0906107078284067
495	154.1	0.187802638718419	124.5	0.0951693514317551
494	153.7	0.186673867499745	124.1	0.0937717814987298
493	154.2	0.188084373714938	123.8	0.0927206446840991
492	155.5	0.191730393362856	123.5	0.0916669575956846
491	155.8	0.192567453336546	123.8	0.0927206446840991
490	157.1	0.196176185039973	123.9	0.0930713063760635
489	158.9	0.20112389720738	124.7	0.0958664534785426
488	160.4	0.205204363948145	124.5	0.0951693514317551
487	160.2	0.204662511748219	123.4	0.0913151596972229
486	163.1	0.212453961040276	124.2	0.0941215958405614
485	167.2	0.223236273102998	124.6	0.0955180423231507
484	168.1	0.225567713439471	124.2	0.0941215958405614
483	172.6	0.237040791379191	124.7	0.0958664534785426
482	174.2	0.241048150671644	124	0.0934216851622351
481	178.1	0.250663919463244	123.8	0.0927206446840991
480	182.5	0.261262868792494	124.1	0.0937717814987298
479	187.2	0.272305844402086	124.2	0.0941215958405614
478	192	0.28330122870355	124.6	0.0955180423231507
477	194.6	0.289142835932333	123.9	0.0930713063760635
476	198.2	0.297103650149257	123.7	0.0923696996291207
475	202.5	0.306425027550687	123.7	0.0923696996291207
474	204.5	0.310693312343361	124.1	0.0937717814987298
473	207.2	0.316389751073195	123.6	0.092018470752797
472	209.4	0.320976677342824	124	0.0934216851622351
471	210.4	0.323045735481702	123.1	0.0902580529313163
470	208.9	0.319938439980309	122.6	0.0884904701823962
469	210.1	0.322426052405953	123.2	0.0906107078284067
468	209.1	0.320354032817672	123	0.0899051114393979
467	206.4	0.314709692955174	122.4	0.0877814178095425
466	204.4	0.310480891462675	122.9	0.0895518828864541
