Labels,MOF230 DMSO Ar 420 nm 400 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

23880.000,3.25363898E-3,
23920.000,-6.70639798E-4,
23960.000,5.54862549E-4,
2.4E04,2.02816492E-3,
24040.000,-1.90063240E-3,
24080.000,-4.28869622E-4,
24120.000,3.09257739E-4,
24160.000,6.39860082E-5,
2.42E04,-6.71904534E-4,
24240.000,1.29176059E-3,
24280.000,2.27422873E-3,
24320.000,8.01233051E-4,
24360.000,3.09645868E-4,
2.44E04,1.29031460E-3,
24440.000,1.04857795E-3,
24480.000,-1.81582262E-4,
24520.000,-1.40312430E-3,
24560.000,-4.30899381E-4,
2.46E04,-6.73245464E-4,
24640.000,2.02904013E-3,
24680.000,5.54956147E-4,
24720.000,2.27731280E-3,
24760.000,2.76936521E-3,
2.48E04,3.08867864E-4,
24840.000,5.54820930E-4,
24880.000,5.54608647E-4,
24920.000,-2.87910458E-3,
24960.000,-1.90475245E-3,
2.5E04,2.52039568E-3,
25040.000,3.08806833E-4,
25080.000,1.53589528E-3,
25120.000,5.54862549E-4,
25160.000,1.29126571E-3,
2.52E04,-2.14400049E-3,
25240.000,1.29409588E-3,
25280.000,-4.24764818E-4,
25320.000,-2.39337469E-3,
25360.000,-6.73245522E-4,
2.54E04,1.53712451E-3,
25440.000,1.04410201E-3,
25480.000,1.78301265E-3,
25520.000,1.04533718E-3,
25560.000,-1.80123534E-4,
2.56E04,2.03079334E-3,
25640.000,1.29264186E-3,
25680.000,8.01632996E-4,
25720.000,6.30407958E-5,
25760.000,2.75904150E-3,
2.58E04,2.02729064E-3,
25840.000,3.09391500E-4,
25880.000,-1.65813498E-3,
25920.000,2.02558190E-3,
25960.000,5.54608647E-4,
2.6E04,-4.30381915E-4,
26040.000,-9.17611818E-4,
26080.000,-2.15292932E-3,
26120.000,-1.90874003E-3,
26160.000,2.52274214E-3,
2.62E04,3.01752891E-3,
26240.000,-1.80160059E-4,
26280.000,3.01472913E-3,
26320.000,1.53768528E-3,
26360.000,8.01015063E-4,
2.64E04,1.53407489E-3,
26440.000,-4.28796397E-4,
26480.000,-1.65692437E-3,
26520.000,-1.41272950E-3,
26560.000,1.04505522E-3,
2.66E04,-2.13808194E-3,
26640.000,-6.71941147E-4,
26680.000,-6.71868038E-4,
26720.000,-1.66056037E-3,
26760.000,1.53824664E-3,
2.68E04,-4.27876628E-4,
26840.000,3.08831193E-4,
26880.000,-1.16449816E-3,
26920.000,2.76806974E-3,
26960.000,-3.36528942E-3,
2.7E04,2.02558190E-3,
27040.000,8.01051734E-4,
27080.000,5.54774364E-4,
27120.000,-1.16074702E-3,
27160.000,2.02123541E-3,
2.72E04,5.55149978E-4,
27240.000,8.01414542E-4,
27280.000,1.04593846E-3,
27320.000,8.01015063E-4,
27360.000,-1.80496718E-4,
2.74E04,2.51701404E-3,
27440.000,-9.16069257E-4,
27480.000,1.04601169E-3,
27520.000,1.78374932E-3,
27560.000,5.55108069E-4,
2.76E04,2.27426551E-3,
27640.000,3.00753838E-3,
27680.000,4.23925510E-3,
27720.000,-4.23234975E-4,
27760.000,8.00509064E-4,
2.78E04,-2.63290643E-3,
27840.000,-1.80087067E-4,
27880.000,-1.81655370E-4,
27920.000,-9.14493634E-4,
27960.000,-4.27289429E-4,
2.8E04,1.53708796E-3,
28040.000,-2.88667670E-3,
28080.000,8.01088405E-4,
28120.000,-1.83497395E-4,
28160.000,3.00322892E-3,
2.82E04,1.78374932E-3,
28240.000,1.29080820E-3,
28280.000,1.78297597E-3,
28320.000,6.42216473E-5,
28360.000,3.01325857E-3,
2.84E04,-1.16256555E-3,
28440.000,-1.16078358E-3,
28480.000,-6.70676178E-4,
28520.000,1.29084475E-3,
28560.000,-1.81207783E-4,
2.86E04,1.53948134E-3,
28640.000,-1.65326416E-3,
28680.000,6.38232887E-5,
28720.000,-1.81993644E-4,
28760.000,1.78080751E-3,
2.88E04,-2.87720794E-3,
28840.000,8.00328562E-4,
28880.000,-2.13811849E-3,
28920.000,5.54820930E-4,
28960.000,2.03251373E-3,
2.9E04,2.02816492E-3,
29040.000,8.00004753E-4,
29080.000,2.27325200E-3,
29120.000,2.02725409E-3,
29160.000,-6.71868038E-4,
2.92E04,-1.82744727E-4,
29240.000,1.04572915E-3,
29280.000,-4.25824081E-4,
29320.000,-2.64172279E-3,
29360.000,-1.90063240E-3,
2.94E04,3.09839263E-4,
29440.000,5.54862549E-4,
29480.000,2.76168692E-3,
29520.000,2.76032696E-3,
29560.000,7.99824891E-4,
2.96E04,-1.83911077E-4,
29640.000,-2.37884908E-3,
29680.000,-9.20023827E-4,
29720.000,2.02816492E-3,
29760.000,-1.41169399E-3,
2.98E04,-1.81244366E-4,
29840.000,-9.19231214E-4,
29880.000,1.04561937E-3,
29920.000,-2.14100140E-3,
29960.000,1.04593846E-3,
3E04,1.29310146E-3,
30040.000,-9.20854160E-4,
30080.000,5.55276056E-4,
30120.000,-2.13656994E-3,
30160.000,-1.16349477E-3,
3.02E04,-4.11197310E-3,
30240.000,-4.26299841E-4,
30280.000,-4.24764818E-4,
30320.000,-2.87720794E-3,
30360.000,1.77857350E-3,
3.04E04,1.53820997E-3,
30440.000,3.99266882E-3,
30480.000,-1.40848511E-3,
30520.000,-1.81207826E-4,
30560.000,3.09257739E-4,
3.06E04,-6.71290094E-4,
30640.000,1.53768528E-3,
30680.000,-6.73898845E-4,
