LAMBDA	EM PYN	EM PYNMOF	Pyn N	PynMOF N
625	143405.85307245	25742.2613284167	0.083822388865006	0.152502863001152
626	138963.308347198	24951.5622710581	0.0811928216666926	0.147675991002101
627	134280.508175619	24473.3412075841	0.0784210459190117	0.144756660519591
628	129235.480662941	23589.1703856296	0.0754348657717378	0.139359184269744
629	124269.190620386	23095.8635857474	0.0724952907756815	0.136347761962947
630	119629.67549557	22508.4446779939	0.0697491356905231	0.132761826389657
631	115958.941250225	22116.6268199358	0.0675764074542896	0.130369949694994
632	111385.216463034	21238.9995102455	0.0648691940398363	0.125012418726261
633	107598.475808496	20673.0779894267	0.0626278009578279	0.121557715300123
634	104121.634433863	20275.225782242	0.060569839001811	0.11912900154266
635	100531.811034775	19533.8267183838	0.0584450023503478	0.114603084446699
636	96264.7738868543	19328.1292191688	0.0559193190737389	0.113347391158594
637	92928.1527487181	18553.5939591905	0.053944354264005	0.108619192074664
638	89879.274455492	18229.6126682137	0.0521397060618281	0.106641427959381
639	86502.3405807561	17779.618718692	0.0501408799166676	0.103894411664781
640	82340.2630557981	17298.4174420379	0.0476773228309603	0.100956888283954
641	80243.3011171923	16954.9334762032	0.046436119270639	0.0988600688665275
642	76940.9581655263	16388.716700279	0.0444814439121845	0.0954035630370762
643	74386.7936470204	16038.6442264661	0.0429696195744841	0.0932665236593758
644	71726.5755133294	15791.3678576214	0.0413950215057352	0.0917570095532243
645	68697.2549173033	15388.3301514661	0.0396019496144819	0.0892966405919896
646	66279.0413511371	15049.7079071726	0.0381705954097708	0.0872294998587048
647	64090.5216674484	14630.9569881778	0.0368751983054087	0.0846732086039448
648	62131.4016474049	14039.5648099364	0.0357155841516147	0.0810630179517045
649	59525.7424043056	13854.5059139144	0.0341732797969304	0.079933314311526
650	57278.6679918711	13417.3225825814	0.0328432238194362	0.0772645012393154
651	55122.4702587041	13349.0400059121	0.0315669582592978	0.0768476659664252
652	53190.2754672424	12675.4405504182	0.0304232812996717	0.072735635833038
653	51114.7453114546	12529.9869535276	0.0291947633320872	0.07184770522599
654	50165.0983124052	11964.2620040849	0.0286326619345519	0.0683942017821495
655	48266.5365596586	11555.2446384085	0.0275088925596221	0.0658973296142425
656	46238.1764449795	11360.6086806259	0.026308294804554	0.0647091621997425
657	44693.4447175195	10940.1121874934	0.0253939594107798	0.0621422149781529
658	42911.8088961106	10572.1971378544	0.0243393991519518	0.0598962544769932
